code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
73280;Saint-Sorlin-d'Arves;73;797;672;6939;3290;9;;
73281;Saint-Sulpice;73;512;373;4491;2459;46;;
73282;Saint-Thibaud-de-Couz;73;473;359;4858;2584;9;;
73283;Saint-Vital;73;611;332;5134;2678;9;;
73284;Salins-Fontaine;73;590;358;5872;2928;9;;
73285;Séez;73;763;450;6602;3176;9;;
73286;Serrières-en-Chautagne;73;485;322;2965;1941;9;;
73288;Sonnaz;73;528;337;4479;2455;9;;
73289;La Table;73;729;437;5067;2655;9;;
73290;Val-Cenis;73;589;398;5905;2939;46;;
73292;Thénésol;73;613;365;4454;2446;9;;
73293;Thoiry;73;565;392;5415;2773;9;;
73294;La Thuile;73;572;445;4938;2611;9;;
73296;Tignes;73;621;1068;4648;2512;9;;
73297;Tournon;73;615;345;4783;2558;9;;
73298;Tours-en-Savoie;73;646;342;6620;3182;9;;
73299;Traize;73;451;352;5112;2670;46;;
73300;Tresserve;73;522;332;6675;3201;9;;
73301;Trévignin;73;524;387;6056;2991;9;;
73302;La Trinité;73;647;335;5424;2776;9;;
73303;Ugine;73;699;483;3187;2016;9;;
73304;Val-d'Isère;73;708;840;5278;2726;9;;
73306;Valloire;73;800;409;10450;4483;9;;
73307;Valmeinier;73;792;673;10751;4585;9;;
73308;Venthon;73;622;361;5233;2711;9;;
73309;Verel-de-Montbel;73;449;337;4525;2471;46;;
73310;Verel-Pragondran;73;523;375;4946;2614;9;;
73311;Le Verneil;73;733;396;5846;2919;9;;
73312;Verrens-Arvey;73;607;358;4600;2496;9;;
73313;Verthemex;73;471;391;4974;2623;46;;
73314;Villard-d'Héry;73;647;346;5362;2755;9;;
73315;Villard-Léger;73;644;329;5595;2834;9;;
73316;Villard-Sallet;73;628;330;5533;2813;9;;
73317;Villard-sur-Doron;73;696;406;5043;2647;9;;
73318;Villarembert;73;728;581;7563;3502;9;;
73320;Villargondran;73;772;401;7864;3605;9;;
73322;Villarodin-Bourget;73;703;530;6857;3263;9;;
73323;Villaroger;73;715;1023;9625;4203;9;;
73324;Villaroux;73;589;336;5481;2795;9;;
73326;Vimines;73;502;369;4440;2442;9;;
73327;Vions;73;506;320;4469;2452;9;;
73328;Viviers-du-Lac;73;562;326;5559;2822;9;;
73329;Voglans;73;526;324;5174;2691;9;;
73330;Yenne;73;475;320;4807;2567;46;;
75056;Paris;75;421;300;1136;1320;9;;
2A004;Ajaccio;2A;1515;298;13569;5542;46;;
