code_insee;nom_commune;code_departement;dose_rayonnements_telluriques;dose_rayonnements_cosmiques;dose_radon_maison_individuelle;dose_radon_habitat_collectif;dose_depots_essais_atmospheriques_et_tchernobyl;;
1319;Relevant;1;638;325;4363;2416;9;;
1320;Replonges;1;662;315;4195;2359;9;;
1321;Revonnas;1;450;333;3893;2256;9;;
1322;Reyrieux;1;678;315;4908;2601;9;;
1323;Reyssouze;1;592;319;3485;2118;9;;
1325;Rignieux-le-Franc;1;497;319;3762;2212;9;;
1328;Romans;1;620;324;4215;2366;9;;
1329;Rossillon;1;432;334;3916;2264;9;;
1330;Ruffieu;1;480;405;3967;2281;9;;
1331;Saint-Alban;1;372;366;3732;2201;9;;
1332;Saint-André-de-Bâgé;1;621;317;4269;2384;9;;
1333;Saint-André-de-Corcy;1;670;328;3871;2248;9;;
1334;Saint-André-d'Huiriat;1;607;314;4647;2512;9;;
1335;Saint-André-le-Bouchoux;1;580;325;4160;2347;9;;
1336;Saint-André-sur-Vieux-Jonc;1;519;322;3912;2263;9;;
1337;Saint-Bénigne;1;586;317;3787;2220;9;;
1338;Groslée-Saint-Benoit;1;462;317;4672;2521;9;;
1339;Saint-Bernard;1;651;314;6332;3084;9;;
1342;Sainte-Croix;1;521;325;3344;2070;9;;
1343;Saint-Cyr-sur-Menthon;1;614;317;4299;2394;9;;
1344;Saint-Denis-lès-Bourg;1;517;320;3365;2077;9;;
1345;Saint-Denis-en-Bugey;1;454;321;3225;2029;9;;
1346;Saint-Didier-d'Aussiat;1;579;317;4157;2346;9;;
1347;Saint-Didier-de-Formans;1;692;317;5504;2803;9;;
1348;Saint-Didier-sur-Chalaronne;1;648;313;4705;2532;9;;
1349;Saint-Éloi;1;491;328;3609;2160;9;;
1350;Saint-Étienne-du-Bois;1;481;322;4394;2426;9;;
1351;Saint-Étienne-sur-Chalaronne;1;643;315;4841;2578;9;;
1352;Saint-Étienne-sur-Reyssouze;1;575;316;4015;2298;9;;
1353;Sainte-Euphémie;1;660;317;5137;2678;9;;
1354;Saint-Genis-Pouilly;1;466;351;4929;2608;9;;
1355;Saint-Genis-sur-Menthon;1;593;317;4331;2405;9;;
1356;Saint-Georges-sur-Renon;1;611;324;4282;2388;9;;
1357;Saint-Germain-de-Joux;1;437;362;4397;2427;9;;
1358;Saint-Germain-les-Paroisses;1;430;343;3910;2262;46;;
1359;Saint-Germain-sur-Renon;1;625;324;4418;2434;9;;
1360;Saint-Jean-de-Gonville;1;473;363;4421;2435;9;;
1361;Saint-Jean-de-Niost;1;431;317;4562;2483;9;;
1362;Saint-Jean-de-Thurigneux;1;649;327;4409;2431;9;;
1363;Saint-Jean-le-Vieux;1;388;331;3714;2195;9;;
1364;Saint-Jean-sur-Reyssouze;1;563;318;4031;2303;9;;
